x0,P
       -0.01 ,           0.6
   -0.009899 ,           0.6
   -0.009798 ,           0.6
   -0.009697 ,           0.6
   -0.009596 ,           0.6
  -0.0094949 ,           0.6
  -0.0093939 ,           0.6
  -0.0092929 ,           0.6
  -0.0091919 ,           0.6
  -0.0090909 ,           0.6
  -0.0089899 ,           0.6
  -0.0088889 ,           0.6
  -0.0087879 ,          0.59
  -0.0086869 ,          0.57
  -0.0085859 ,          0.57
  -0.0084848 ,          0.56
  -0.0083838 ,          0.54
  -0.0082828 ,          0.54
  -0.0081818 ,          0.54
  -0.0080808 ,          0.54
  -0.0079798 ,          0.54
  -0.0078788 ,          0.53
  -0.0077778 ,          0.52
  -0.0076768 ,          0.52
  -0.0075758 ,          0.52
  -0.0074747 ,          0.52
  -0.0073737 ,          0.52
  -0.0072727 ,          0.52
  -0.0071717 ,          0.52
  -0.0070707 ,          0.52
  -0.0069697 ,          0.52
  -0.0068687 ,          0.52
  -0.0067677 ,          0.51
  -0.0066667 ,          0.49
  -0.0065657 ,          0.49
  -0.0064646 ,          0.48
  -0.0063636 ,          0.48
  -0.0062626 ,          0.48
  -0.0061616 ,          0.48
  -0.0060606 ,          0.48
  -0.0059596 ,          0.48
  -0.0058586 ,          0.48
  -0.0057576 ,          0.48
  -0.0056566 ,          0.48
  -0.0055556 ,          0.48
  -0.0054545 ,          0.48
  -0.0053535 ,          0.48
  -0.0052525 ,          0.48
  -0.0051515 ,          0.48
  -0.0050505 ,          0.48
  -0.0049495 ,          0.48
  -0.0048485 ,          0.48
  -0.0047475 ,          0.48
  -0.0046465 ,          0.48
  -0.0045455 ,          0.48
  -0.0044444 ,          0.48
  -0.0043434 ,          0.48
  -0.0042424 ,          0.48
  -0.0041414 ,          0.48
  -0.0040404 ,          0.48
  -0.0039394 ,          0.48
  -0.0038384 ,          0.48
  -0.0037374 ,          0.48
  -0.0036364 ,          0.48
  -0.0035354 ,          0.47
  -0.0034343 ,          0.46
  -0.0033333 ,          0.46
  -0.0032323 ,          0.46
  -0.0031313 ,          0.46
  -0.0030303 ,          0.46
  -0.0029293 ,          0.41
  -0.0028283 ,           0.4
  -0.0027273 ,          0.38
  -0.0026263 ,          0.38
  -0.0025253 ,          0.38
  -0.0024242 ,          0.38
  -0.0023232 ,          0.38
  -0.0022222 ,          0.38
  -0.0021212 ,          0.35
  -0.0020202 ,          0.35
  -0.0019192 ,          0.34
  -0.0018182 ,          0.33
  -0.0017172 ,          0.33
  -0.0016162 ,          0.32
  -0.0015152 ,           0.3
  -0.0014141 ,           0.3
  -0.0013131 ,           0.3
  -0.0012121 ,          0.28
  -0.0011111 ,          0.27
  -0.0010101 ,          0.26
 -0.00090909 ,          0.25
 -0.00080808 ,          0.24
 -0.00070707 ,          0.23
 -0.00060606 ,          0.22
 -0.00050505 ,          0.22
 -0.00040404 ,          0.22
 -0.00030303 ,          0.22
 -0.00020202 ,          0.19
 -0.00010101 ,          0.16
           0 ,          0.16
