x0,P
   -0.059506 ,            0
   -0.042028 ,         0.16
   -0.063235 ,            0
   -0.059393 ,            0
    -0.05217 ,            0
   -0.050896 ,         0.02
    -0.05117 ,         0.01
   -0.047659 ,         0.06
   -0.052713 ,         0.02
   -0.052769 ,         0.06
   -0.060441 ,            0
   -0.059871 ,            0
  -0.0096489 ,          0.54
  -0.0097059 ,          0.48
  -0.0048538 ,           0.4
  -0.0014189 ,          0.36
  -0.0091574 ,          0.56
  -0.0095949 ,           0.6
 -0.00035712 ,          0.18
  -0.0093399 ,          0.62
  -0.0075774 ,          0.56
  -0.0039223 ,           0.4
  -0.0017119 ,          0.38
 -0.00031833 ,           0.2
 -0.00046171 ,          0.22
  -0.0082346 ,          0.62
   -0.003171 ,          0.26
 -0.00034446 ,          0.23
  -0.0038156 ,          0.38
   -0.007952 ,          0.58
  -0.0048976 ,           0.4
  -0.0064631 ,          0.52
  -0.0075469 ,           0.5
   -0.006797 ,          0.54
  -0.0016261 ,          0.34
  -0.0049836 ,           0.3
  -0.0034039 ,          0.44
  -0.0022381 ,           0.4
   -0.002551 ,           0.4
  -0.0069908 ,          0.44
  -0.0095929 ,          0.68
  -0.0013862 ,           0.3
  -0.0025751 ,          0.29
  -0.0025428 ,          0.38
  -0.0024352 ,          0.28
  -0.0034998 ,          0.34
  -0.0025108 ,          0.36
  -0.0047329 ,          0.38
  -0.0083083 ,           0.6
  -0.0054972 ,          0.42
  -0.0028584 ,          0.42
  -0.0075373 ,          0.54
  -0.0056782 ,           0.5
  -0.0005395 ,          0.34
  -0.0077917 ,          0.44
  -0.0012991 ,          0.36
  -0.0046939 ,           0.5
  -0.0033712 ,          0.44
  -0.0079428 ,          0.68
  -0.0052853 ,          0.54
  -0.0060198 ,          0.45
  -0.0065408 ,          0.48
  -0.0074815 ,          0.48
 -0.00083821 ,          0.22
  -0.0091334 ,          0.52
  -0.0082582 ,          0.58
  -0.0099613 ,          0.73
  -0.0044268 ,          0.42
   -0.009619 ,          0.64
  -0.0077491 ,          0.58
  -0.0086869 ,          0.62
  -0.0039978 ,           0.4
  -0.0080007 ,           0.6
  -0.0091065 ,          0.62
   -0.002638 ,          0.34
  -0.0013607 ,          0.24
   -0.005797 ,          0.56
  -0.0014495 ,          0.41
  -0.0062206 ,          0.42
  -0.0051325 ,          0.42
 -0.00075967 ,          0.36
  -0.0012332 ,          0.33
  -0.0023995 ,          0.34
 -0.00049654 ,          0.26
  -0.0094479 ,          0.58
  -0.0048925 ,          0.56
  -0.0090005 ,          0.68
   -0.001112 ,          0.29
  -0.0038974 ,          0.42
  -0.0040391 ,          0.32
  -0.0013197 ,          0.48
  -0.0095613 ,          0.56
  -0.0005978 ,          0.36
  -0.0035316 ,          0.52
 -0.00015403 ,          0.33
  -0.0016899 ,           0.4
  -0.0073172 ,          0.72
  -0.0045092 ,          0.51
  -0.0029632 ,          0.36
  -0.0018896 ,          0.36
  -0.0018351 ,          0.46
  -0.0062562 ,           0.5
 -0.00081126 ,           0.2
  -0.0077571 ,          0.37
  -0.0043586 ,          0.39
  -0.0030635 ,          0.42
  -0.0051077 ,           0.5
  -0.0079483 ,          0.72
  -0.0037861 ,          0.44
  -0.0053283 ,           0.4
    -0.00939 ,          0.63
  -0.0055016 ,          0.48
   -0.020181 ,          0.46
   -0.021147 ,          0.54
   -0.019832 ,          0.42
   -0.020591 ,          0.36
   -0.014154 ,           0.7
   -0.011457 ,          0.64
   -0.020422 ,          0.55
   -0.024253 ,          0.38
   -0.016581 ,          0.68
   -0.021483 ,          0.54
   -0.012803 ,           0.6
   -0.016684 ,          0.76
    -0.02064 ,          0.44
    -0.01414 ,           0.7
   -0.019826 ,           0.5
   -0.011785 ,          0.62
   -0.024396 ,          0.36
   -0.018779 ,           0.5
   -0.021269 ,          0.54
   -0.017589 ,           0.6
   -0.023364 ,           0.5
   -0.018208 ,          0.68
   -0.012239 ,          0.61
   -0.022611 ,          0.48
   -0.022214 ,           0.5
   -0.023939 ,          0.38
   -0.012949 ,          0.64
   -0.019241 ,          0.57
   -0.015275 ,          0.73
   -0.018779 ,          0.52
   -0.023758 ,          0.32
   -0.021358 ,           0.4
   -0.015707 ,           0.7
   -0.011138 ,           0.5
   -0.017962 ,          0.67
    -0.02401 ,          0.54
   -0.018532 ,           0.6
   -0.010179 ,          0.82
   -0.012433 ,           0.6
   -0.014668 ,           0.7
   -0.012485 ,          0.61
   -0.013945 ,          0.68
   -0.020338 ,          0.59
   -0.016758 ,           0.7
   -0.013435 ,          0.54
   -0.012286 ,          0.66
   -0.018075 ,           0.5
   -0.011173 ,          0.56
     -0.0116 ,          0.65
    -0.01007 ,          0.64
    -0.02226 ,          0.58
   -0.011267 ,          0.68
   -0.013898 ,          0.56
   -0.016471 ,           0.6
   -0.012728 ,           0.7
   -0.012183 ,           0.7
   -0.023039 ,           0.4
   -0.018248 ,          0.65
   -0.022795 ,          0.39
   -0.015264 ,          0.61
   -0.016027 ,          0.68
   -0.013599 ,          0.69
   -0.012759 ,          0.75
   -0.016259 ,          0.65
   -0.023541 ,          0.39
   -0.017363 ,           0.6
   -0.015066 ,          0.62
   -0.015539 ,          0.64
   -0.021704 ,          0.48
   -0.013625 ,          0.68
   -0.011447 ,          0.68
   -0.024131 ,          0.48
   -0.018628 ,          0.56
   -0.013522 ,          0.66
   -0.022318 ,          0.42
   -0.010645 ,          0.78
   -0.019737 ,          0.72
   -0.019716 ,          0.48
   -0.018205 ,          0.57
    -0.02117 ,           0.4
   -0.020302 ,          0.41
   -0.015527 ,          0.63
   -0.021703 ,          0.34
   -0.023941 ,          0.46
   -0.017302 ,          0.64
   -0.016702 ,          0.73
   -0.017628 ,          0.56
   -0.022264 ,          0.48
   -0.019665 ,          0.49
   -0.022174 ,          0.42
   -0.015261 ,           0.6
   -0.023139 ,          0.52
   -0.019337 ,          0.62
   -0.013116 ,           0.8
   -0.017064 ,          0.66
   -0.022665 ,          0.44
   -0.013389 ,          0.58
   -0.013415 ,           0.7
   -0.014667 ,          0.64
   -0.016453 ,          0.62
   -0.023573 ,          0.35
   -0.016583 ,          0.68
   -0.013871 ,          0.68
   -0.018923 ,          0.62
   -0.019043 ,          0.52
   -0.013326 ,          0.66
    -0.01445 ,           0.7
   -0.016363 ,          0.72
   -0.011283 ,          0.66
   -0.022015 ,           0.6
   -0.023933 ,          0.54
   -0.017329 ,           0.6
   -0.013559 ,          0.62
   -0.024446 ,          0.34
   -0.017817 ,          0.58
   -0.017333 ,          0.54
   -0.020187 ,          0.61
   -0.015512 ,          0.72
   -0.010566 ,          0.76
   -0.023699 ,          0.46
   -0.011481 ,          0.66
    -0.01503 ,           0.7
   -0.012048 ,          0.72
   -0.011601 ,          0.63
   -0.017413 ,          0.64
   -0.020726 ,          0.51
   -0.023364 ,           0.4
   -0.020481 ,          0.46
   -0.010458 ,          0.68
     -0.0175 ,          0.55
   -0.023571 ,          0.38
   -0.019265 ,          0.52
   -0.022082 ,          0.41
   -0.012744 ,          0.75
   -0.023298 ,          0.52
   -0.017349 ,           0.7
    -0.02468 ,          0.42
   -0.017507 ,          0.55
   -0.010894 ,          0.58
   -0.010636 ,          0.74
   -0.017825 ,          0.52
   -0.022272 ,          0.47
   -0.020837 ,          0.56
   -0.019894 ,          0.44
   -0.024595 ,          0.26
   -0.022005 ,          0.48
   -0.016486 ,          0.58
   -0.011252 ,          0.67
   -0.012601 ,          0.72
   -0.022471 ,          0.39
   -0.029074 ,           0.3
   -0.025635 ,          0.44
   -0.028162 ,          0.36
   -0.026392 ,          0.25
   -0.029788 ,          0.34
   -0.025788 ,          0.36
   -0.029786 ,          0.41
   -0.029001 ,           0.3
